Статус,Оборудование,Страница сайта,Куда вставить,Файл
ГОТОВО,Центральные установки RIK-M/RIK-S,centralnye-ustanovki.html,hero страницы,centralnye-ustanovki__tsentralnye_karkasnye_konditsionery_rik_m_i_rik_s.webp
ГОТОВО,Секции смешения P/PU/PD/PL/PR,centralnye-ustanovki.html,блок состав/секции,centralnye-ustanovki__sektsii_smesheniya_vozdukha_r_pu_pd_pl_pr_i_promezhutochnye_sektsii_u_.webp
ГОТОВО,Секции роторных регенераторов,centralnye-ustanovki.html,блок секций / стр. RRT,centralnye-ustanovki__sektsii_rotornykh_regeneratorov_rr.webp
ГОТОВО,Секции пластинчатых рекуператоров,centralnye-ustanovki.html,блок секций,centralnye-ustanovki__sektsii_plastinchatykh_rekuperatorov_rp.webp
ГОТОВО,Секции сотового увлажнителя,centralnye-ustanovki.html,блок секций,centralnye-ustanovki__sektsii_sotovogo_uvlazhnitelya_.webp
ГОТОВО,Секции вентиляторов,centralnye-ustanovki.html,блок секций,centralnye-ustanovki__sektsii_ventilyatorov_.webp
ГОТОВО,Секция водяного воздухоохладителя,centralnye-ustanovki.html,блок секций,centralnye-ustanovki__sektsii_vodyanogo_vozdukhookhladitelya_wxx.webp
ГОТОВО,Секция фреонового испарителя CXY,centralnye-ustanovki.html,блок секций,centralnye-ustanovki__sektsiya_isparitelya_freonovogo_cxy.webp
ГОТОВО,Секции газового воздухонагревателя GS,centralnye-ustanovki.html,блок секций,centralnye-ustanovki__sektsii_gazovogo_vozdukhonagrevatelya_gs.webp
ГОТОВО,Вентиляторы крышные KRV,ventilyatory-kryshnye-krv.html,hero,ventilyatory-kryshnye-krv__kryshnye_ventilyatory_krv.webp
ГОТОВО,Вентиляторы крышные KRV-V,ventilyatory-kryshnye-krv-v.html,hero,ventilyatory-kryshnye-krv-v__ventilyatory_kryshnye_obshchepromyshlennye_krv_v.webp
ГОТОВО,Вентиляторы радиальные RR,ventilyatory-radialnye-rr.html,hero,ventilyatory-radialnye-rr__ventilyatory_radialnye_obshchepromyshlennye_rr.webp
ГОТОВО,Канальное оборудование (хаб),kanalnoe-oborudovanie.html,hero хаба,kanalnoe-oborudovanie__kanalnoe_oborudovanie.webp
ГОТОВО,Круглое канальное оборудование,kanalnoe-oborudovanie.html,карточка круглое,kanalnoe-oborudovanie__kanalnoe_krugloe_oborudovanie.webp
ГОТОВО,Канальный вентилятор KR,kanalnyj-ventilyator-kr.html,hero,kanalnyj-ventilyator-kr__ventilyatory_kanalnye_.webp
ГОТОВО,Вентилятор VR,ventilyator-vr.html,hero,ventilyator-vr__ventilyatory_kanalnye_vr_s_zagnutymi_nazad_lopatkami.webp
ГОТОВО,Вентиляторы WR/WRN,ventilyator-wr.html,hero (и wrn),ventilyator-wr__ventilyatory_kanalnye_wr_i_wrn.webp
ГОТОВО,Вентиляторы общеобменные,ventilyatory.html,карточка / новая стр.,ventilyatory__ventilyatory_dlya_obshcheobmennoy_ventilyatsii.webp
ГОТОВО,Водяной воздухонагреватель RW,vodyanye-vozduhonagrevateli-rw.html,hero,vodyanye-vozduhonagrevateli-rw__vodyanye_vozdukhonagrevateli_rw.webp
ГОТОВО,Водяной воздухонагреватель кругл.,vozduhonagrevatel-vodyanoj-rw.html,hero,vozduhonagrevatel-vodyanoj-rw__vodyanye_vozdukhonagrevateli_.webp
ГОТОВО,Водяной воздухонагреватель HX,vodyanye-vozduhonagrevateli-rw.html,доп. вид,vodyanye-vozduhonagrevateli-rw__vodyanye_vozdukhonagrevateli_hx.webp
ГОТОВО,Электрический воздухонагреватель RE,elektricheskie-vozduhonagrevateli-re.html,hero,elektricheskie-vozduhonagrevateli-re__elektricheskie_vozdukhonagrevateli_re.webp
